ID,Name,Description,CLTS_BIPA,CLTS_Name
o_u0254u0303,ɔ̃,nasalized rounded open-mid back vowel,,
pj_u0070u02BCu02B2,pʼʲ,palatalized voiceless bilabial ejective stop consonant,,
w_u028D,ʍ,voiceless labio-velar approximant consonant,,
ue_u0075u02D0u0065,uːe,from long rounded close back to unrounded close-mid front diphthong,,
ts_u0074u0073,ts,voiceless alveolar sibilant affricate consonant,,
ei_u0065u02D0u0069,eːi,from long unrounded close-mid front to unrounded close front diphthong,,
i_u0268u031E,ɨ̞,lowered unrounded close central vowel,,
i_u026Au0303,ɪ̃,nasalized unrounded near-close near-front vowel,,
kh_u006Bu02D0u02B0,kːʰ,aspirated long voiceless velar stop consonant,,
_u02A1u02E4,ʡˤ,pharyngealized voiceless epiglottal stop consonant,,
i_u0069u02D0u02D0,iːː,ultra-long unrounded close front vowel,,
hdz_u02B1u0064u007A,ʱdz,pre-breathy-aspirated voiced alveolar sibilant affricate consonant,,
ie_u0069u0258,iɘ,from unrounded close front to unrounded close-mid central diphthong,,
dz_u0064u032Au007Au032A,d̪z̪,voiced dental sibilant affricate consonant,,
tsh_u0074u0073u02B0,tsʰ,aspirated voiceless alveolar sibilant affricate consonant,,
uo_u0075u006Fu02D0,uoː,from rounded close back to long rounded close-mid back diphthong,,
hng_u02B1u014B,ʱŋ,pre-breathy-aspirated voiced velar nasal consonant,,
iu_u0069u0075u032F,iu̯,from unrounded close front to non-syllabic rounded close back diphthong,,
oe_u0153u0303,œ̃,nasalized rounded open-mid front vowel,,
ua_u0264u0061,ɤa,from unrounded close-mid back to unrounded open front diphthong,,
ae_u00E6u0303,æ̃,nasalized unrounded near-open front vowel,,
jau_u006Au0061u0075,jau,,,
o_u006Fu031Eu031C,o̞̜,less-rounded rounded mid back vowel,,
ngh_u014Bu02B1,ŋʱ,breathy voiced velar nasal consonant,,
th_u03B8,θ,voiceless dental fricative consonant,,
ph_u0070u02D0u02B0,pːʰ,aspirated long voiceless bilabial stop consonant,,
uo_u0075u0254,uɔ,from rounded close back to rounded open-mid back diphthong,,
ou_u0254u0075u032F,ɔu̯,from rounded open-mid back to non-syllabic rounded close back diphthong,,
fj_u0066u02B2,fʲ,palatalized voiceless labio-dental fricative consonant,,
dz_u0064u0292u033B,dʒ̻,voiced laminal post-alveolar sibilant affricate consonant,,
ea_u0065u0251,eɑ,from unrounded close-mid front to unrounded open back diphthong,,
ts_u0074u033Au0073u033Au02D0,t̺s̺ː,long voiceless apical alveolar sibilant affricate consonant,,
ei_u0065u0069,ei,from unrounded close-mid front to unrounded close front diphthong,,
hwch_u02B0u02B7u0255u02B0,ʰʷɕʰ,pre-labialized aspirated voiceless alveolo-palatal sibilant fricative consonant,,
t_u0074u0320,t̠,voiceless post-alveolar stop consonant,,
b_u03B2,β,voiced bilabial fricative consonant,,
r_u027Eu033A,ɾ̺,voiced apical alveolar tap consonant,,
g_u0067u030Au02D0,g̊ː,long devoiced voiced velar stop consonant,,
sh_u0073u02B0,sʰ,aspirated voiceless alveolar sibilant fricative consonant,,
rj_u027Eu032Au02B2,ɾ̪ʲ,palatalized voiced dental tap consonant,,
gj_u0067u02B2u02D0,gʲː,palatalized long voiced velar stop consonant,,
dh_u0064u0320u02B0,d̠ʰ,aspirated voiced post-alveolar stop consonant,,
tsw_u0074u0283u02BCu02B7,tʃʼʷ,labialized voiceless post-alveolar ejective sibilant affricate consonant,,
dh_u0256u02B1,ɖʱ,breathy voiced retroflex stop consonant,,
r_u027Eu032A,ɾ̪,voiced dental tap consonant,,
nts_u207Fu0074u0073,ⁿts,pre-nasalized voiceless alveolar sibilant affricate consonant,,
e_u025C,ɜ,unrounded open-mid central vowel,,
wa_u0077u0061u02D0,waː,from non-syllabic rounded close back to long unrounded open front diphthong,,
tl_u0074u026Cu02BCu02D0,tɬʼː,long voiceless alveolar ejective lateral affricate consonant,,
e_u0065u031Eu0330,e̞̰,creaky unrounded mid front vowel,,
oe_u0153u02D0,œː,long rounded open-mid front vowel,,
s_u0073u0302u02BC,ŝʼ,voiceless post-alveolar ejective sibilant fricative consonant,,
uo_u0075u0303u006F,ũo,from nasalized rounded close back to rounded close-mid back diphthong,,
gj_u0067u02B2,gʲ,palatalized voiced velar stop consonant,,
tsh_u0074u0283u02B0u02E4,tʃʰˤ,pharyngealized aspirated voiceless post-alveolar sibilant affricate consonant,,
dh_u0064u033Au02B1,d̺ʱ,breathy voiced apical alveolar stop consonant,,
gw_u0263u02B7,ɣʷ,labialized voiced velar fricative consonant,,
i_u0069u0324u0303u02D0,ĩ̤ː,long nasalized breathy unrounded close front vowel,,
nsh_u207Fu0073u02B0,ⁿsʰ,pre-nasalized aspirated voiceless alveolar sibilant fricative consonant,,
tj_u0074u0320u02B2,t̠ʲ,palatalized voiceless post-alveolar stop consonant,,
ngw_u014Bu02B7,ŋʷ,labialized voiced velar nasal consonant,,
j_u006A,j,voiced palatal approximant consonant,,
ew_u025Bu0270,ɛɰ,from unrounded open-mid front to unrounded close back diphthong,,
