ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,Marginal,Allophones,Contribution_ID
1,kaba1278,U0070_U02B0_ph,pʰ,,,,false,,
2,kaba1278,U0062_b,b,,,,false,,
3,kaba1278,U0066_f,f,,,,false,,
4,kaba1278,U0070_U02BC_p',pʼ,,,,false,,
5,kaba1278,U0066_U02BC_f',fʼ,,,,false,,
6,kaba1278,U026C_l,ɬ,,,,false,,
7,kaba1278,U0074_U02BC_t',tʼ,,,,false,,
8,kaba1278,U0074_U0073_U02BC_ts',tsʼ,,,,false,,
9,kaba1278,U026C_U02BC_l',ɬʼ,,,,false,,
10,kaba1278,U0074_U02B0_th,tʰ,,,,false,,
11,kaba1278,U0074_U0073_ts,ts,,,,false,,
12,kaba1278,U0064_d,d,,,,false,,
13,kaba1278,U0064_U007A_dz,dz,,,,false,,
14,kaba1278,U0073_s,s,,,,false,,
15,kaba1278,U007A_z,z,,,,false,,
16,kaba1278,U0283_S,ʃ,,,,false,,
17,kaba1278,U0292_Z,ʒ,,,,false,,
18,kaba1278,U0283_U02BC_S',ʃʼ,,,,false,,
19,kaba1278,U00E7_c,ç,,,,false,,
20,kaba1278,U029D_j,ʝ,,,,false,,
21,kaba1278,U006B_U02B2_U02BC_kj',kʲʼ,,,,false,,
22,kaba1278,U0067_U02B2_gj,gʲ,,,,false,,
23,kaba1278,U006B_U02B7_U02BC_kw',kʷʼ,,,,false,,
24,kaba1278,U006B_U02B7_U02B0_kwh,kʷʰ,,,,false,,
25,kaba1278,U0078_U02B7_xw,xʷ,,,,false,,
26,kaba1278,U0067_U02B7_gw,gʷ,,,,false,,
27,kaba1278,U0071_U02B0_qh,qʰ,,,,false,,
28,kaba1278,U0071_U02B7_U02BC_qw',qʷʼ,,,,false,,
29,kaba1278,U0071_U02B7_U02B0_qwh,qʷʰ,,,,false,,
30,kaba1278,U0071_U02BC_q',qʼ,,,,false,,
31,kaba1278,U03C7_kh,χ,,,,false,,
32,kaba1278,U03C7_U02B7_khw,χʷ,,,,false,,
33,kaba1278,U0281_R,ʁ,,,,false,,
34,kaba1278,U0281_U02B7_Rw,ʁʷ,,,,false,,
35,kaba1278,U0127_h,ħ,,,,false,,
36,kaba1278,U0068_h,h,,,,false,,
37,kaba1278,U0294_?,ʔ,,,,false,,
38,kaba1278,U0294_U02B7_?w,ʔʷ,,,,false,,
39,kaba1278,U0077_w,w,,,,false,,
40,kaba1278,U006D_m,m,,,,false,,
41,kaba1278,U006E_n,n,,,,false,,
42,kaba1278,U006C_l,l,,,,false,,
43,kaba1278,U027E_r,ɾ,,,,false,,
44,kaba1278,U006A_j,j,,,,false,,
45,kaba1278,U0259_@,ə,,,,false,,
46,kaba1278,U0250_a,ɐ,,,,false,,
47,kaba1278,U0061_U02D0_a:,aː,,,,false,,
48,ital1282,U0070_p,p,,,,false,,
49,ital1282,U0062_b,b,,,,false,,
50,ital1282,U0066_f,f,,,,false,,
51,ital1282,U0076_v,v,,,,false,,
52,ital1282,U006D_m,m,,,,false,,
53,ital1282,U0077_w,w,,,,false,,
54,ital1282,U0074_U032A_t,t̪,,,,false,,
55,ital1282,U0064_U032A_d,d̪,,,,false,,
56,ital1282,U0074_U0073_ts,ts,,,,false,,
57,ital1282,U0064_U007A_dz,dz,,,,false,,
58,ital1282,U0073_s,s,,,,false,,
59,ital1282,U007A_z,z,,,,false,,
60,ital1282,U006E_n,n,,,,false,,
61,ital1282,U006C_l,l,,,,false,,
62,ital1282,U027E_r,ɾ,,,,false,,
63,ital1282,U0074_U0283_tS,tʃ,,,,false,,
64,ital1282,U0064_U0292_dZ,dʒ,,,,false,,
65,ital1282,U0283_S,ʃ,,,,false,,
66,ital1282,U0272_n,ɲ,,,,false,,
67,ital1282,U028E_y,ʎ,,,,false,,
68,ital1282,U006A_j,j,,,,false,,
69,ital1282,U006B_k,k,,,,false,,
70,ital1282,U0067_g,g,,,,false,,
71,ital1282,U0069_i,i,,,,false,,
72,ital1282,U0065_e,e,,,,false,,
73,ital1282,U025B_e,ɛ,,,,false,,
74,ital1282,U0061_a,a,,,,false,,
75,ital1282,U0254_o,ɔ,,,,false,,
76,ital1282,U006F_o,o,,,,false,,
77,ital1282,U0075_u,u,,,,false,,
78,zuri1239,U0070_p,p,,,,false,,
79,zuri1239,U0062_U0325_b,b̥,,,,false,,
80,zuri1239,U006D_m,m,,,,false,,
81,zuri1239,U0070_U0066_pf,pf,,,,false,,
82,zuri1239,U0066_f,f,,,,false,,
83,zuri1239,U0076_U0325_v,v̥,,,,false,,
84,zuri1239,U028B_v,ʋ,,,,false,,
85,zuri1239,U0074_t,t,,,,false,,
86,zuri1239,U0064_U0325_d,d̥,,,,false,,
87,zuri1239,U0074_U0073_ts,ts,,,,false,,
